team,name,position,role,unit_type,unit_no,slot,endurance,shooting_accuracy,shooting,shot_blocking,offensive_awareness,defensive_awareness,discipline,hitting,faceoffs,poke_checking
Home,HLW1,F,F,F,1,W1,92,95,90,25,95,20,90,50,20,50
Home,HRW1,F,F,F,1,W2,80,75,80,30,90,10,90,40,10,40
Home,HC1,F,F,F,1,C,81,70,60,20,80,50,90,20,90,60
Home,HLW2,F,F,F,2,W1,80,90,90,10,80,30,80,40,20,30
Home,HRW2,F,F,F,2,W2,75,50,55,25,75,20,80,30,10,20
Home,HC2,F,F,F,2,C,70,40,45,20,70,45,80,20,85,75
Home,HLW3,F,F,F,3,W1,75,30,50,35,65,55,65,55,20,15
Home,HRW3,F,F,F,3,W2,72,75,50,40,60,65,55,75,30,20
Home,HC3,F,F,F,3,C,70,20,40,50,60,75,60,90,80,85
Home,HLW4,F,F,F,4,W1,50,10,50,75,50,85,45,90,10,75
Home,HRW4,F,F,F,4,W2,30,10,20,70,40,80,35,50,20,55
Home,HC4,F,F,F,4,C,10,30,10,80,30,90,25,75,70,90
Home,HLD1,D,D,D,1,D1,95,75,80,95,95,95,90,90,0,95
Home,HRD 1,D,D,D,1,D2,92,40,85,90,90,85,90,85,0,90
Home,HLD2,D,D,D,2,D1,70,30,65,85,70,75,70,75,0,85
Home,HRD2,D,D,D,2,D2,70,35,60,80,65,65,70,65,0,80
Home,HLD3,D,D,D,3,D1,40,25,40,80,45,55,50,55,0,75
Home,HRD3,D,D,D,3,D2,20,10,20,75,20,45,50,55,0,65
Away,ALW1,F,F,F,1,W1,92,25,90,25,95,20,90,50,20,50
Away,ARW1,F,F,F,1,W2,82,98,80,30,90,10,90,40,10,40
Away,AC1,F,F,F,1,C,75,45,60,20,80,50,90,20,90,60
Away,ALW2,F,F,F,2,W1,80,85,90,10,80,30,80,40,20,30
Away,ARW2,F,F,F,2,W2,75,86,55,25,75,20,80,30,10,20
Away,AC2,F,F,F,2,C,70,50,45,20,70,45,80,20,85,75
Away,ALW3,F,F,F,3,W1,75,75,50,35,65,55,65,55,20,15
Away,ARW3,F,F,F,3,W2,75,60,50,40,60,65,55,75,30,20
Away,AC3,F,F,F,3,C,72,55,40,50,60,75,60,90,80,85
Away,ALW4,F,F,F,4,W1,40,15,50,75,50,85,45,90,10,75
Away,ARW4,F,F,F,4,W2,30,40,20,70,40,80,35,50,20,55
Away,AC4,F,F,F,4,C,10,20,10,80,30,90,25,75,70,90
Away,ALD1,D,D,D,1,D1,95,70,80,95,95,95,90,90,0,95
Away,ARD1,D,D,D,1,D2,92,45,85,90,90,85,90,85,0,90
Away,ALD2,D,D,D,2,D1,80,55,65,85,70,75,70,75,0,85
Away,ARD2,D,D,D,2,D2,70,20,60,80,65,65,70,65,0,80
Away,ALD3,D,D,D,3,D1,40,35,40,80,45,55,50,55,0,75
Away,ARD3,D,D,D,3,D2,20,10,20,75,20,45,50,55,0,65
